País,Año,N° de expediente,Origen,Tipo,Extracto,Link,Fecha de entrada,Comisión,Cantidad de firmantes,Partido político,¿Lo impulsó el oficialismo?,¿Modifica una ley vigente?,Ley que modifica,¿Estado parlamentario?,Fecha de caducidad,¿Fue aprobado en la Cámara de origen?,¿Criminaliza la expresión?,¿Elimina criminalización?,¿Impone una sanción civil?,¿Elimina una sanción civil?,¿Impone barreras adicionales para la expresión?,¿Regula contenido en Internet?,¿Distingue la expresión online de la offline?,¿Regula intermediarios en internet?,¿Apoyo de sociedad civil?,¿Limita el discurso?,Objetivo legítimo,Legalidad,Necesidad,Proporcionalidad,¿Cumple con todos los elementos del test?,Otros objetivos legítimos (2),Otros objetivos legítimos (3),Análisis del test tripartito
Argentina,2012,0174/12,Senado,Proyecto de ley,LEY DE ACCESO A LA INFORMACION PUBLICA (REPRODUCCION DEL EXPEDIENTE 1286-S-10).,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/174.12/S/PL,2012-03-05,"Asuntos constitucionales; Justicia y asuntos penales; Asuntos administrativos y municipales; Sistemas, medios de comunicación y libertad de expresión",1,Coalición Cívica,NO,NO,,CADUCADO,2014-02-28,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2012,339/12,Diputados,Proyecto de ley,"NORMAS PARA LA UTILIZACION DE INTERNET POR PARTE DE NIÑAS, NIÑOS Y ADOLESCENTES.",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=0339-D-2012&tipo=LEY,2012-03-06,"Comunicaciones e informática; Familia, mujer, niñez y adolescencia; Educación",1,Frente Peronista,NO,NO,,VIGENTE,2014-02-28,NO,NO,NO,NO,NO,SI,SI,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Argentina,2012,0716/12,Diputados,Proyecto de ley,LEY DE ACCESO A LA INFORMACION PUBLICA,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=0716-D-2012&tipo=LEY,2012-03-13,"Asuntos Constitucionales; Justicia; Peticiones, Poderes y Reglamento; Presupuesto y Hacienda",1,Democracia Igualitaria y Participativa,NO,NO,,CADUCADO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2012,0835/12,Diputados,Proyecto de ley,LIBRE ACCESO A LA INFORMACION PUBLICA: REGIMEN.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=0835-D-2012&tipo=LEY,2012-03-14,Asuntos Constitucionales; Justicia; Presupuesto y Hacienda,7,Frente para la Victoria,SI,NO,,CADUCADO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2012,0891/12,Diputados,Proyecto de ley,LIBRE ACCESO A LA INFORMACION PUBLICA: REGIMEN.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=0891-D-2012&tipo=LEY,2012-03-15,Asuntos Constitucionales; Justicia; Presupuesto y Hacienda,1,Frente para la Victoria,SI,NO,,CADUCADO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2012,0994/12,Diputados,Proyecto de ley,ACCESO A LA INFORMACION PUBLICA; REGIMEN.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=0994-D-2012&tipo=LEY,2012-03-16,Asuntos Constitucionales; Justicia; Presupuesto y Hacienda,5,UCR,NO,NO,,CADUCADO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2012,1892/12,Diputados,Proyecto de ley,"INSTITUTO NACIONAL CONTRA LA DISCRIMINACION, LA XENOFOBIA Y EL RACISMO -INADI- LEY 24515: INCORPORACION DEL ARTICULO 4 BIS, SOBRE CREACION DEL OBSERVATORIO DE REDES SOCIALES, DE CORREOS ELECTRONICOS Y MENSAJES DE TEXTO.",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1892-D-2012&tipo=LEY,2012-04-03,Derechos humanos y garantías; Comunicaciones e informática; Presupuesto y Hacienda,1,Frente Peronista,NO,SI,,VIGENTE,2014-02-28,NO,NO,NO,NO,NO,NO,SI,NO,SI,,Promueve,"Discriminación, violencia y discursos de odio",,,,SI,Discriminación,,
Argentina,2012,178575,Diputados,Proyecto de ley,"CREACION DEL PROGRAMA EDUCATIVO NACIONAL DE DIFUSION, PREVENCION Y TRATAMIENTO DEL ACOSO ESCOLAR O BULLYING EN EL AMBITO DEL MINISTERIO DE EDUCACION DE LA NACION.",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2388-D-2012&tipo=LEY,2012-04-20,Educación; Presupuesto y Hacienda,1,Frente para la Victoria,SI,NO,,CADUCADO,2014-02-28,NO,NO,NO,NO,NO,SI,SI,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Argentina,2012,2668/12,Diputados,Proyecto de ley,PROVEEDORES DE LOS SERVICIOS DE INTERNET: REGIMEN DE RESPONSABILIDADES.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2668-D-2012&tipo=LEY,2012-05-02,"Comunicaciones e informática; Defensa del consumidor, del usuario y de la competencia; Justicia",1,PRO,NO,NO,,VIGENTE,2014-02-28,NO,NO,NO,NO,NO,SI,SI,NO,SI,,Limita,Moderación de Contenidos y responsabilidad de intermediarios,SI,SI,SI,SI,Responsabilidad de intermediarios,,
Argentina,2012,266233,Diputados,Proyecto de ley,ACCESO A LA INFORMACION PUBLICA: REGIMEN.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2628-D-2012&tipo=LEY,2012-05-02,Asuntos constitucionales; Justicia; Presupuesto y Hacienda,5,Nuevo Encuentro,NO,NO,,CADUCADO,2014-02-28,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
