País,Año,N° de ley,Tipo,Extracto,Link,Fecha de sanción,¿Modifica otra ley?,¿Cuál?,¿Sigue vigente?,Fecha de derogación o modificación,¿Criminaliza la expresión?,¿Elimina criminalización?,¿Impone una sanción civil?,¿Elimina una sanción civil?,¿Impone barreras adicionales para la expresión?,¿Regula contenido en Internet?,¿Distingue la expresión online de la offline?,¿Regula intermediarios en Internet?,¿Apoyo de la sociedad civil?,¿Limita o promueve el discurso?,Objetivo legítimo,Legalidad,Necesidad,Proporcionalidad,¿Cumple con todos los elementos del test?,Objetivo legítimo (2),Objetivo legítimo (3),Análisis del test tripartito
Chile,2025,Ley N° 21.732,Ley,"La Ley que determina conductas terroristas y fija su penalidad (que deroga la Ley N° 18.314) redefine el marco legal del terrorismo en Chile, ampliando la tipificación de conductas terroristas (incorporando las informàticas) y estableciendo severas penas para quienes participen en asociaciones terroristas, actúen con fines de desestabilización del Estado o inciten públicamente a la comisión de delitos terroristas. Introduce figuras como la criminalización de la “incitación pública” (Art. 12), la ampliación de facultades de investigación (intervención de redes de datos, localización de dispositivos), y permite la extensión de plazos judiciales, con modificaciones en el Código Procesal Penal y en leyes sobre libertad condicional.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=16812&prmBOLETIN=16239-25,2025-02-12,SI,"Deroga la Ley N° 18.314 y modifica el Código Penal, el Código Procesal Penal, el DL N° 321, la Ley N° 18.216",SI,,SI,NO,NO,NO,SI,SI,NO,NO,NO,Limita,Seguridad Nacional,SI,NO,NO,NO,,,"Es una ley formal, dictada por el Congreso, con definiciones relativamente específicas respecto de las conductas sancionadas. Por otro ladom aunque proteger del terrorismo es una necesidad innegable, existen dudas sobre si criminalizar la mera difusión de mensajes como incitación sin considerar con más precisión el contexto comunicacional es estrictamente necesario. Podría haberse optado por sancionar solo cuando haya una relación directa con un acto consumado o tentativa concreta. Su proporcionalidad también está en cuestión porque se establece una sanción penal para un hecho comunicativo (la incitación), incluso cuando no exista asociación directa con la ejecución del delito."
Chile,2025,Ley N° 21.729,Ley,"Modifica la Ley N° 18.168, General de Telecomunicaciones, incorporando artículos sobre la individualización obligatoria de usuarios de servicios telefónicos prepago, mediante la recolección y almacenamiento por 5 años de datos sensibles como nombre, domicilio, número de cédula o pasaporte, y datos técnicos del dispositivo (IMEI, MSISDN, IMSI). También obliga a las empresas a implementar un sistema de bloqueo de equipos móviles robados y sanciona penalmente la adulteración del IMEI.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=12563&prmBOLETIN=12042-15,2025-02-13,SI,Ley N° 18.168,SI,,NO,NO,NO,NO,SI,NO,NO,NO,NO,Limita,Seguridad Nacional,SI,NO,NO,NO,,,"Está establecido en una ley formal, con requisitos técnicos definidos por lo que cumple con el criterio de legalidad. En cuanto a su necesidad, es cuestionable, pues si  bien hay interés legítimo en combatir delitos, no se justifica por qué es indispensable registrar toda esta información de forma masiva ni por qué se exige su retención por 5 años. Finalmente, no cumple con ser proporcional poque la recolección obligatoria de datos sensibles (incluido el domicilio y el IMEI) puede ser desproporcionada, especialmente si no existen mecanismos claros de anonimización o revisión judicial. Tampoco se ofrecen garantías específicas más allá de la mención genérica a la Ley de Protección de Datos"
México,2025,Ley Federal de PROTECCIÓN DE DATOS PERSONALES EN POSESIÓN DE LOS PARTICULARES,Ley,"Regula el tratamiento legítimo, informado y controlado de datos personales por parte de personas físicas o morales privadas. Establece obligaciones a los responsables del tratamiento, derechos para los titulares (ARCO), y mecanismos para la supervisión y sanción por parte de la Secretaría Anticorrupción y Buen Gobierno. También reemplaza normas anteriores al respecto, y centraliza funciones que antes eran del INAI.",https://www.ordenjuridico.gob.mx/Documentos/Federal/pdf/wo125102.pdf,2025-03-20,SI,ey Federal de Protección de Datos Personales en Posesión de los Particulares de 2010,SI,,NO,NO,SI,NO,SI,SI,NO,SI,NO,Limita,Privacidad y Derechos ARCO,SI,NO,NO,NO,,,"La ley está formalmente aprobada y es clara en su estructura, cumple con el criterio de legalidad. Sin embargo, su necesdiad es parcial. Si bien proteger derechos fundamentales, no justifica de manera suficiente la ausencia de excepciones para usos informativos o periodísticos. Su proporcionalidad también es dudosa porque las sanciones y penalizaciones severas no discriminan entre usos legítimos y maliciosos."
México,2025,LEY GENERAL DE PROTECCIÓN DE DATOS PERSONALES EN POSESIÓN DE SUJETOS OBLIGADOS,Ley,"Regula el tratamiento de datos personales en posesión de sujetos obligados (autoridades, órganos de gobierno, partidos políticos, etc.). Tiene como objetivo garantizar el derecho a la protección de datos personales mediante principios como licitud, consentimiento, calidad, proporcionalidad y responsabilidad.",https://www.ordenjuridico.gob.mx/Documentos/Federal/pdf/wo125097.pdf,2025-03-20,SI,Constitución,SI,,NO,NO,SI,NO,SI,SI,NO,SI,NO,Limita,Privacidad y Derechos ARCO,SI,NO,NO,NO,,,"La ley cumple con el criterio de legalidad al estar prevista en una ley formal publicada y aprobada. No cumple con el criterio de necesidad porque algunas disposiciones, como las restricciones en el acceso a información en poder de sujetos obligados, pueden no ser necesarias en todos los casos. No se establece claramente un mecanismo de ponderación frente al interés público. Por último, su proporcionalidad es debatible. La ley establece reglas muy estrictas sobre el tratamiento de datos, incluso de carácter público, que pueden dificultar investigaciones periodísticas o el escrutinio ciudadano sobre autoridades."
México,2025,LEY GENERAL DE TRANSPARENCIA Y ACCESO A LA INFORMACIÓN PÚBLICA,Ley,"Reglaméntese el artículo 6º constitucional y establece los principios, bases, procedimientos y obligaciones para garantizar el derecho de acceso a la información pública. Aplica a todo tipo de sujetos obligados, incluidos los tres poderes del Estado, órganos autónomos, partidos políticos, sindicatos y cualquier entidad que reciba recursos públicos o ejerza actos de autoridad.",https://www.ordenjuridico.gob.mx/Documentos/Federal/pdf/wo125097.pdf,2025-03-20,SI,Ley Orgánica de la Administración Pública Federal,SI,,NO,NO,NO,NO,NO,SI,NO,NO,NO,Promueve,Acceso a la información,SI,SI,SI,SI,,,"La ley cumple con el aspecto de legalidad, en cuanto está escrita formalmente y aprobada. También responde a una necesidad normativa de garantizar un derecho reconocido constitucionalmente. Es proporcional, en tanto las obligaciones impuestas a los sujetos obligados son proporcionales al objetivo de transparencia. Las excepciones al acceso están reguladas de forma razonable"
Paraguay,2025,7438,Ley ordinaria,"Establece un nuevo marco regulatorio para la explotación de los juegos de suerte o de azar, ampliando su alcance y atribuciones de control estatal. Introduce nuevas modalidades de juegos, incluyendo el casino online, el telebingo televisado y otras formas de apuestas a través de internet. El artículo 6° bis (inciso p) faculta a la Comisión Nacional de Juegos de Azar (CONAJZAR) a ordenar el monitoreo, bloqueo o cancelación de transmisiones, páginas web y plataformas online utilizadas para juegos de azar no autorizados, incluyendo la intervención sobre intermediarios y proveedores de servicios digitales.",https://silpy.congreso.gov.py/web/expediente/138081,2025-01-03,SI,Ley N.º 1016/1997,SI,,NO,,SI,,SI,SI,SI,SI,,Limita,Moderación de Contenidos y responsabilidad de intermediarios,SI,NO,NO,NO,,,"La ley se encuentra de manera escrita y formal. Sin embargo, no cumple con el criterio de necesidad. No se demuestra la necesidad estricta de adoptar medidas tan severas como el bloqueo de sitios, sin una intervención judicial previa. Existen medidas menos restrictivas que podrían emplearse para combatir el juego ilegal. En ese sentido, las medidas habilitadas (bloqueo total, cancelación de transmisiones, destrucción de equipos) pueden ser desproporcionadas en relación al fin perseguido."
Perú,2025,LEY 32301,LEY,"Esta ley modifica varios artículos de la Ley 27692, que crea la Agencia Peruana de Cooperación Internacional (APCI), para fortalecer sus mecanismos de supervisión, registro y control de los recursos provenientes de la cooperación técnica internacional no reembolsable. Establece nuevas obligaciones de registro y reporte para las organizaciones receptoras de estos fondos, incorpora causales de infracción y sanciones administrativas (como multas, cancelación de registros e impedimentos para operar), e introduce la exigencia de conformidad previa de la APCI para ejecutar actividades, firmar contratos o actos jurídicos con el Estado. Asimismo, se sanciona como infracción muy grave el uso de recursos de cooperación para actividades declaradas contrarias al orden público, la seguridad ciudadana o la defensa nacional, incluyendo el financiamiento de actividades electorales en contravención al ordenamiento jurídico.",https://busquedas.elperuano.pe/dispositivo/NL/2390801-1,2025-04-15,SI,"Ley 27692, la Ley 28875 y el Decreto Legislativo 719",SI,,NO,NO,NO,NO,SI,NO,NO,NO,NO,Limita,Seguridad nacional,NO,NO,NO,NO,Orden Público,Moral pública,"Encuanto al crierio de legalidad, este no se cumple. Si bien la ley fue aprobada formalmente, varios términos como “afectar el orden público” o “acciones contra el Estado” son ambiguos y abren la puerta a interpretaciones arbitrarias. La necesidad tampoco se cumple. El objetivo de asegurar la transparencia en el uso de fondos es legítimo, pero prohibir su uso para “acciones contra el Estado” sin precisar si se trata de demandas legítimas en el marco de derechos constitucionales atenta contra el pluralismo y los mecanismos de rendición de cuentas. Por último, la sanción es desproporcionada. Penalizar con cancelación de registro, pérdida de beneficios o disolución de la persona jurídica el uso de recursos para asistir jurídicamente o financiar litigios ante instancias internacionales limita gravemente el derecho de defensa y el acceso a la justicia."
Perú,2025,LEY 32314,LEY,"Ley que modifica el Código Penal y la Ley de Delitos Informáticos para incorporar el uso de inteligencia artificial como circunstancia agravante en delitos como estafa, difamación, pornografía infantil y plagio, entre otros. Destaca la penalización del uso de IA para manipular imágenes o crear contenidos falsos con fines difamatorios o de explotación sexual infantil. Asimismo, sanciona penalmente la elusión de medidas tecnológicas de protección de derechos de autor, ya sea mediante dispositivos o servicios.",https://wb2server.congreso.gob.pe/spley-portal-service/archivo/MjgzMTY5/pdf,2025-04-29,SI,Código Penal y ley 30096,SI,,SI,NO,NO,NO,SI,SI,SI,NO,NO,Limita,Honor y reputación,SI,NO,NO,NO,,,"El criterio de legalidad se cumple. Es una ley formal, aprobada por el Congreso, con artículos específicos y delimitados. El criterio de necesidad se cumple parcialmente, pues si bien responde a una amenaza real, no se considera el impacto potencial de la restricción en expresiones legítimas. En cuanto a su proporcionalidad, penalizar con cárcel el uso de IA para la creación de contenido, sin distinguir entre intención, contexto o daño real, puede tener un efecto inhibidor sobre expresiones protegidas, como parodia, sátira o crítica social."
Argentina,2024,780/2024,Decreto,"Reglamenta la Ley N° 27.275 de ""Acceso a la Información Pública"" y modifica el Decreto N° 206/2017. El artículo 24d exige que los solicitantes de información verifiquen su identidad antes de realizar cualquier solicitud.",https://www.argentina.gob.ar/normativa/nacional/decreto-780-2024-403572/texto,2024-09-02,SI,Ley N° 27.275,SI,,NO,NO,NO,NO,SI,NO,NO,NO,NO,Limita,Acceso a la información,SI,NO,NO,NO,,,"La medida está establecida en un decreto formal y se basa en la Ley N° 27.275, por lo que cumple con el criterio de legalidad. Sobre el criterio de necesidad, la medida podría ser más restrictiva de lo necesario. Existen alternativas menos invasivas. Por último, la medida no parece ser proporcional, ya que el beneficio de agilizar las respuestas no justifica el potencial impacto negativo en el anonimato y la libertad de los ciudadanos para solicitar información sin temor a ser identificados."
Chile,2024,21708,Ley,"Ley que modifica la Ley N° 19.496 estableciendo deberes para los proveedores de servicios de telecomunicaciones. Entre los cambios, se establece que estos deben informar, sin costo, sobre los planes más beneficiosos para el usuario. Entre las principales modificaciones, se amplía el alcance del artículo 30, incorporando explícitamente las ""aplicaciones"" dentro de las disposiciones aplicables a los servicios de Internet. Además, deben actualizar en todo momento la información de planes y precios en sus plataformas. La norma prohíbe cobrar multas o recargos por cambiar de plan y se deben garantizar condiciones para que los usuarios ejerzan este derecho.",https://www.bcn.cl/leychile/navegar?idNorma=1208220,2024-12-15,SI,Ley N° 19.496,SI,,NO,NO,NO,NO,NO,NO,SI,NO,NO,Promueve,Derechos del consumidor,SI,SI,SI,SI,,,"La ley pasa el criterio de legalidad porque tiene disposiciones claras y precisas que exigen a los proveedores de telecomunicaciones actualizar la información sobre sus servicios y comunicar planes más convenientes a los usuarios. En cuanto al criterio de necesidad, este se cumple pues la medida responde a una necesidad legítima de evitar prácticas comerciales desleales y asegurar transparencia en los servicios digitales. Con respecto al criterio de proporcionalidad, la obligación impuesta a los proveedores es razonable y no restringe indebidamente la libertad de expresión. No impone censura ni sanciones excesivas; simplemente establece un deber de información que beneficia a los usuarios."
