serie,numero,idioma,url,filename,status,message
Artículo de investigación,74,ENG,https://www.palermo.edu/Archivos_content/2025/cele/junio/dp_74.pdf,Artículo_de_investigación_74_ENG.pdf,saved,saved
Artículo de investigación,73,ESP,https://www.palermo.edu/Archivos_content/2026/cele/marzo/AI_73.pdf,Artículo_de_investigación_73_ESP.pdf,saved,saved
Documento de posición,41,ESP,https://www.palermo.edu/Archivos_content/2026/cele/abril/41_DP.pdf,Documento_de_posición_41_ESP.pdf,saved,saved
Artículo de investigación,72,ENG,https://www.palermo.edu/Archivos_content/2026/cele/marzo/AI_72.pdf,Artículo_de_investigación_72_ENG.pdf,saved,saved
Documento de posición,40,ESP,https://www.palermo.edu/Archivos_content/2026/cele/marzo/DP_40.pdf,Documento_de_posición_40_ESP.pdf,saved,saved
Trabajos publicados,,,https://policyreview.info/articles/analysis/threats-of-regulation,Trabajos_publicados_missing_01.pdf,saved,"saved, but content type looks unusual: text/html; charset=UTF-8"
Trabajos publicados,,,https://www.gp-digital.org/publication/data-access-for-researchers-within-digital-platforms-unpacking-the-human-rights-implications-practical-opportunities-and-challenges-for-the-global-majority/,Trabajos_publicados_missing_02.pdf,saved,"saved, but content type looks unusual: text/html; charset=UTF-8"
Documento de posición,39,ESP,https://www.palermo.edu/Archivos_content/2026/cele/febrero/dp39.pdf,Documento_de_posición_39_ESP.pdf,saved,saved
Documento de posición,38,ESP,https://www.palermo.edu/Archivos_content/2026/cele/febrero/DP_38.pdf,Documento_de_posición_38_ESP.pdf,saved,saved
Artículo de investigación,57b,ENG,https://www.palermo.edu/Archivos_content/2023/cele/papers/233008-reporte-regional-OSINT.pdf,Artículo_de_investigación_57b_ENG.pdf,saved,saved
Documento de posición,37,,https://www.palermo.edu/Archivos_content/2026/cele/marzo/dp_37.pdf,Documento_de_posición_37.pdf,saved,saved
Documento de posición,36,ESP,https://www.palermo.edu/Archivos_content/2025/cele/diciembre/DP_36.pdf,Documento_de_posición_36_ESP.pdf,saved,saved
Documento de posición,35,ESP,https://www.palermo.edu/Archivos_content/2025/cele/noviembre/DP_35.pdf,Documento_de_posición_35_ESP.pdf,saved,saved
Informe de jurisprudencia,5,ESP,https://observatoriolegislativocele.com/wp-content/uploads/informe-de-jurisprudencia-5-rusia.pdf,Informe_de_jurisprudencia_5_ESP.pdf,saved,saved
Trabajos publicados,,,,Trabajos_publicados_missing_03.pdf,skipped,blank Link
Documento de posición,34,ENG,https://www.palermo.edu/Archivos_content/2025/cele/abril/dp34.pdf,Documento_de_posición_34_ENG.pdf,saved,saved
Artículo de investigación,71,ESP,https://www.palermo.edu/Archivos_content/2026/cele/marzo/AI_71.pdf,Artículo_de_investigación_71_ESP.pdf,saved,saved
Documento de posición,33,ESP,https://www.palermo.edu/Archivos_content/2025/cele/agosto/08_2025_DP33.pdf,Documento_de_posición_33_ESP.pdf,saved,saved
